childr	3.0	children	5571.0	en	2	0.75	1.0
avant	16.0	avante	10.0	e	1	0.8333	1.0
avant	16.0	avanti	3.0	i	1	0.8333	1.0
avant	16.0	savant	1.0	s	1	0.8333	0.75
avant	16.0	avantage	4.0	age	3	0.625	1.0
ventana	23.0	ventanas	1.0	s	1	0.875	1.0
hisui	1.0	shisui	1.0	s	1	0.8333	0.75
botanic	7.0	botanica	44.0	a	1	0.875	1.0
botanic	7.0	botanical	37.0	al	2	0.7778	1.0
after	236.0	afteroon	1.0	oon	3	0.625	1.0
a	208052.0	iona	3.0	ion	3	0.25	0.5
a	208052.0	ater	1.0	ter	3	0.25	0.5
a	208052.0	aa	356514.0	a	1	0.5	1.0
a	208052.0	aa	356514.0	a	1	0.5	1.0
a	208052.0	da	158.0	d	1	0.5	0.75
a	208052.0	ad	40378.0	d	1	0.5	0.75
a	208052.0	ea	87.0	e	1	0.5	0.75
a	208052.0	ae	24697.0	e	1	0.5	1.0
a	208052.0	ia	10.0	i	1	0.5	0.75
a	208052.0	ai	7195.0	i	1	0.5	1.0
a	208052.0	ka	5.0	k	1	0.5	0.75
a	208052.0	ak	4889.0	k	1	0.5	0.75
a	208052.0	la	738.0	l	1	0.5	0.75
a	208052.0	al	4064.0	l	1	0.5	0.75
a	208052.0	ma	658.0	m	1	0.5	0.75
a	208052.0	am	3880.0	m	1	0.5	0.75
a	208052.0	na	32.0	n	1	0.5	0.75
a	208052.0	an	2621.0	n	1	0.5	0.75
a	208052.0	oa	2.0	o	1	0.5	0.75
a	208052.0	ao	1546.0	o	1	0.5	1.0
a	208052.0	thea	2.0	the	3	0.25	0.75
a	208052.0	athe	1.0	the	3	0.25	0.75
a	208052.0	sa	167.0	s	1	0.5	0.75
a	208052.0	as	1053.0	s	1	0.5	0.75
a	208052.0	ta	28.0	t	1	0.5	0.75
a	208052.0	at	8893.0	t	1	0.5	0.75
a	208052.0	ya	14.0	y	1	0.5	0.75
a	208052.0	ay	253.0	y	1	0.5	1.0
a	208052.0	goda	4.0	god	3	0.25	0.5
a	208052.0	agod	1.0	god	3	0.25	0.5
a	208052.0	acua	2.0	acu	3	0.25	0.75
a	208052.0	para	6.0	par	3	0.25	0.5
a	208052.0	apar	4.0	par	3	0.25	0.5
a	208052.0	ares	1.0	res	3	0.25	0.5
a	208052.0	civa	2.0	civ	3	0.25	0.5
a	208052.0	witha	5.0	with	4	0.2	0.5
a	208052.0	awith	1.0	with	4	0.2	0.75
a	208052.0	agra	9.0	agr	3	0.25	0.5
a	208052.0	pena	7.0	pen	3	0.25	0.5
a	208052.0	pera	128.0	per	3	0.25	0.5
a	208052.0	camera	44.0	camer	5	0.1667	0.25
a	208052.0	cola	2.0	col	3	0.25	0.5
a	208052.0	cora	2.0	cor	3	0.25	0.5
a	208052.0	alba	14.0	alb	3	0.25	0.5
a	208052.0	alia	2.0	ali	3	0.25	0.75
